src_port,dst_port,ip_version,protocol,duration,packet_count,total_bytes,avg_packet_size,packets_per_sec,syn_count,ack_count,fin_count,rst_count,label
53,60257,4,UDP,0.13,2,273,136.5,15.37,0,0,0,0,0
53,52683,4,UDP,0.13,2,286,143.0,15.39,0,0,0,0,0
53,55235,4,UDP,0.13,2,217,108.5,15.33,0,0,0,0,0
53,34344,4,UDP,0.264,2,259,129.5,7.56,0,0,0,0,0
53,45299,4,UDP,0.296,2,259,129.5,6.75,0,0,0,0,0
53,58598,4,UDP,0.265,2,269,134.5,7.55,0,0,0,0,0
53,51601,4,UDP,0.084,2,188,94.0,23.74,0,0,0,0,0
53,48149,4,UDP,0.084,2,249,124.5,23.7,0,0,0,0,0
53,42114,4,UDP,0.004,2,293,146.5,490.85,0,0,0,0,0
53,54050,4,UDP,0.102,2,335,167.5,19.55,0,0,0,0,0
53,53698,4,UDP,0.132,2,335,167.5,15.13,0,0,0,0,0
53,33499,4,UDP,0.006,2,186,93.0,315.9,0,0,0,0,0
53,59634,4,UDP,0.002,2,186,93.0,820.72,0,0,0,0,0
53,60624,4,UDP,124.406,4,492,123.0,0.03,0,0,0,0,0
53,44839,4,UDP,0.217,2,232,116.0,9.2,0,0,0,0,0
53,43988,4,UDP,0.091,2,247,123.5,21.89,0,0,0,0,0
42820,443,4,TCP,4.817,20,4608,230.4,4.15,2,16,2,3,0
443,53714,6,TCP,1.74,2,188,94.0,1.15,2,0,0,0,0
443,56732,4,TCP,113.307,69,42653,618.16,0.61,2,68,1,0,0
443,56748,4,TCP,2.093,17,5576,328.0,8.12,2,13,2,3,0
53,48844,4,UDP,0.288,2,283,141.5,6.94,0,0,0,0,0
53,53043,4,UDP,0.197,2,443,221.5,10.16,0,0,0,0,0
53,44615,4,UDP,0.344,2,241,120.5,5.82,0,0,0,0,0
53989,443,6,UDP,0.632,5,6470,1294.0,7.91,0,0,0,0,0
33970,443,6,TCP,35.662,10,940,94.0,0.28,10,0,0,0,0
443,57608,4,TCP,173.066,68,41565,611.25,0.39,2,67,2,0,0
41862,443,4,TCP,6.043,20,4608,230.4,3.31,2,16,2,3,0
33978,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
33980,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
53,35419,4,UDP,0.02,2,184,92.0,100.67,0,0,0,0,0
53,39088,4,UDP,0.027,2,233,116.5,75.4,0,0,0,0,0
53,55154,4,UDP,0.031,2,233,116.5,65.55,0,0,0,0,0
44848,443,4,TCP,23.303,28,8809,314.61,1.2,4,23,2,3,0
443,57622,4,TCP,216.386,44,11063,251.43,0.2,2,43,3,0,0
44864,443,4,TCP,28.838,58,22871,394.33,2.01,5,56,2,0,0
443,38874,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
443,33000,4,TCP,171.051,44,11887,270.16,0.26,2,43,2,0,0
53,35082,4,UDP,0.078,2,192,96.0,25.55,0,0,0,0,0
53,39048,4,UDP,0.081,2,254,127.0,24.68,0,0,0,0,0
53,58544,4,UDP,0.091,2,229,114.5,21.99,0,0,0,0,0
53,55454,4,UDP,0.083,2,294,147.0,24.08,0,0,0,0,0
53,56434,4,UDP,0.109,2,192,96.0,18.35,0,0,0,0,0
123,34474,4,UDP,0.053,2,180,90.0,37.57,0,0,0,0,0
123,49623,4,UDP,0.122,2,180,90.0,16.39,0,0,0,0,0
53,35272,4,UDP,0.077,2,188,94.0,25.85,0,0,0,0,0
53,44543,4,UDP,0.041,2,200,100.0,49.08,0,0,0,0,0
53,43427,4,UDP,0.026,2,296,148.0,76.36,0,0,0,0,0
58212,80,4,TCP,0.792,9,770,85.56,11.36,2,7,1,2,0
80,44450,4,TCP,0.22,3,202,67.33,13.64,2,1,0,1,0
47945,443,4,UDP,0.138,15,10770,718.0,108.35,0,0,0,0,0
45352,443,4,TCP,5.27,20,4608,230.4,3.8,2,16,2,3,0
443,41026,4,TCP,5.25,19,4478,235.68,3.62,2,16,2,2,0
53,45703,4,UDP,0.025,2,184,92.0,79.83,0,0,0,0,0
53,43420,4,UDP,0.025,2,233,116.5,79.27,0,0,0,0,0
53,57282,4,UDP,0.03,2,233,116.5,66.05,0,0,0,0,0
46648,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
53,55632,4,UDP,0.014,2,218,109.0,138.3,0,0,0,0,0
46660,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
443,37098,6,TCP,1.062,2,188,94.0,1.88,2,0,0,0,0
443,37114,6,TCP,1.197,2,188,94.0,1.67,2,0,0,0,0
46664,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
443,58884,4,TCP,271.393,392,295583,754.04,1.44,2,391,2,0,0
443,59862,4,TCP,271.458,593,403297,680.1,2.18,2,592,2,0,0
443,51022,4,TCP,0.478,20,7441,372.05,41.81,2,18,1,2,0
37442,443,4,TCP,29.192,52,13303,255.83,1.78,2,51,2,0,0
37452,443,4,TCP,1.079,25,8903,356.12,23.18,2,21,2,3,0
46535,443,4,UDP,48.217,64,38415,600.23,1.33,0,0,0,0,0
5353,5353,4,UDP,0.001,1,146,146.0,1000.0,0,0,0,0,0
51514,443,6,TCP,37.103,8,752,94.0,0.22,8,0,0,0,0
